month,monthly_churn_rate,avg_lifetime_months,total_customers,new_customers,churned_customers,monthly_revenue
2025-01,0.08,14.2,1050,105,84,52500
2025-02,0.07,15.1,1071,98,75,53550
2025-03,0.09,12.8,1094,112,98,54700
2025-04,0.08,13.9,1108,101,89,55400
2025-05,0.075,14.5,1120,95,84,56000
2025-06,0.085,13.2,1131,107,96,56550
2025-07,0.09,12.5,1142,115,103,57100
2025-08,0.08,13.8,1154,98,92,57700
2025-09,0.07,14.8,1160,89,81,58000
2025-10,0.08,13.5,1168,102,93,58400
2025-11,0.085,12.9,1177,110,100,58850
2025-12,0.075,14.3,1187,95,89,59350
2026-01,0.08,13.7,1193,98,95,59650
2026-02,0.07,15.0,1196,87,84,59800
